stage,train_through,validation_year,evaluation_year,architecture,learning_rate,patience,seeds,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners,evaluation_accuracy,evaluation_changed_seat_accuracy,evaluation_changed_seats,evaluation_log_loss,evaluation_brier_score,evaluation_rows,evaluation_unseen_winners,policy
screening,2015,2017,2019,32_16,0.3,50,3,0.8939873417721519,0.08955223880597014,67,0.30973613655610377,0.16407088779080012,632,0,0.8908227848101266,0.2631578947368421,76,0.2689924785278881,0.15910957126779865,632,0,validation_compact
screening,2015,2017,2019,32_16,0.01,50,3,0.8955696202531646,0.14925373134328357,67,0.33549567561754956,0.1752016581585522,632,0,0.8370253164556962,0.23684210526315788,76,0.3353838069856679,0.18971960781094885,632,0,fixed_0.01
screening,2015,2017,2019,32_16,0.03,50,3,0.8955696202531646,0.08955223880597014,67,0.3278248838291043,0.16927393766379248,632,0,0.8781645569620253,0.23684210526315788,76,0.3130058009615661,0.17985960686172192,632,0,fixed_0.03
screening,2015,2017,2019,32_16,0.05,50,3,0.8987341772151899,0.1044776119402985,67,0.33415283107052934,0.1698667135205345,632,0,0.8955696202531646,0.3157894736842105,76,0.28383526163526696,0.16202522294681188,632,0,fixed_0.05
screening,2015,2017,2019,32_16,0.1,50,3,0.8955696202531646,0.08955223880597014,67,0.32514311475319674,0.16792103573728703,632,0,0.8813291139240507,0.23684210526315788,76,0.30274493973792194,0.17569353042912383,632,0,fixed_0.1
screening,2015,2017,2019,32_16,0.2,50,3,0.8955696202531646,0.08955223880597014,67,0.31191703364835405,0.16515964494005103,632,0,0.8734177215189873,0.2236842105263158,76,0.3088345670106834,0.18259244026049085,632,0,fixed_0.2
screening,2015,2017,2019,32_16,0.3,50,3,0.8939873417721519,0.08955223880597014,67,0.30973613655610377,0.16407088779080012,632,0,0.8908227848101266,0.2631578947368421,76,0.2689924785278881,0.15910957126779865,632,0,fixed_0.3
screening,2015,2017,2019,32_16,0.5,50,3,0.8939873417721519,0.08955223880597014,67,0.3470526787342748,0.17605489582032138,632,0,0.9018987341772152,0.34210526315789475,76,0.24841953158919958,0.1449475253843214,632,0,fixed_0.5
screening,2015,2017,2019,32_16,1.0,50,3,0.8924050632911392,0.07462686567164178,67,0.3537932310869336,0.17706295113683487,632,0,0.9003164556962026,0.42105263157894735,76,0.25057943708272234,0.1427855346664755,632,0,fixed_1
screening,2015,2017,2019,64_32,0.3,10,3,0.8955696202531646,0.1044776119402985,67,0.30658921316527077,0.16408821071404742,632,0,0.8955696202531646,0.34210526315789475,76,0.26291212648798473,0.1525217592902447,632,0,validation_all_rates
screening,2015,2017,2019,64_32,0.3,10,3,0.8955696202531646,0.1044776119402985,67,0.30658921316527077,0.16408821071404742,632,0,0.8955696202531646,0.34210526315789475,76,0.26291212648798473,0.1525217592902447,632,0,validation_midrange
screening,2015,2017,2019,64_32,0.3,10,3,0.8955696202531646,0.1044776119402985,67,0.30658921316527077,0.16408821071404742,632,0,0.8955696202531646,0.34210526315789475,76,0.26291212648798473,0.1525217592902447,632,0,validation_compact
screening,2015,2017,2019,64_32,0.01,10,3,0.8971518987341772,0.31343283582089554,67,0.348911924618144,0.17993067363148627,632,0,0.8386075949367089,0.2894736842105263,76,0.3390059107208221,0.18888047487690968,632,0,fixed_0.01
screening,2015,2017,2019,64_32,0.03,10,3,0.9003164556962026,0.19402985074626866,67,0.34038629601273823,0.1753225047790955,632,0,0.8512658227848101,0.27631578947368424,76,0.31996344073058863,0.18076379373933849,632,0,fixed_0.03
screening,2015,2017,2019,64_32,0.05,10,3,0.8971518987341772,0.08955223880597014,67,0.3386591132104405,0.17150162764435617,632,0,0.9034810126582279,0.40789473684210525,76,0.2642238793795404,0.1491067364714279,632,0,fixed_0.05
screening,2015,2017,2019,64_32,0.1,10,3,0.8924050632911392,0.26865671641791045,67,0.33196071752804973,0.17399350732250146,632,0,0.8338607594936709,0.2631578947368421,76,0.3313008505945147,0.18994837659444458,632,0,fixed_0.1
screening,2015,2017,2019,64_32,0.2,10,3,0.8971518987341772,0.1044776119402985,67,0.3210407987899045,0.16612092194458553,632,0,0.9050632911392406,0.34210526315789475,76,0.26138074466413375,0.15043858030786403,632,0,fixed_0.2
screening,2015,2017,2019,64_32,0.3,10,3,0.8955696202531646,0.1044776119402985,67,0.30658921316527077,0.16408821071404742,632,0,0.8955696202531646,0.34210526315789475,76,0.26291212648798473,0.1525217592902447,632,0,fixed_0.3
screening,2015,2017,2019,64_32,0.5,10,3,0.8939873417721519,0.1044776119402985,67,0.36891650767518175,0.18180730106467693,632,0,0.8781645569620253,0.3684210526315789,76,0.2881962370226911,0.16767526364970753,632,0,fixed_0.5
screening,2015,2017,2019,64_32,1.0,10,3,0.8908227848101266,0.08955223880597014,67,0.33057568889643746,0.17200893738102926,632,0,0.875,0.3684210526315789,76,0.2858192008406781,0.16862388238417808,632,0,fixed_1
screening,2015,2017,2019,64_32,0.3,20,3,0.8955696202531646,0.1044776119402985,67,0.30658921316527077,0.16408821071404742,632,0,0.8955696202531646,0.34210526315789475,76,0.26291212648798473,0.1525217592902447,632,0,validation_all_rates
screening,2015,2017,2019,64_32,0.3,20,3,0.8955696202531646,0.1044776119402985,67,0.30658921316527077,0.16408821071404742,632,0,0.8955696202531646,0.34210526315789475,76,0.26291212648798473,0.1525217592902447,632,0,validation_midrange
screening,2015,2017,2019,64_32,0.3,20,3,0.8955696202531646,0.1044776119402985,67,0.30658921316527077,0.16408821071404742,632,0,0.8955696202531646,0.34210526315789475,76,0.26291212648798473,0.1525217592902447,632,0,validation_compact
screening,2015,2017,2019,64_32,0.01,20,3,0.8971518987341772,0.31343283582089554,67,0.348911924618144,0.17993067363148627,632,0,0.8386075949367089,0.2894736842105263,76,0.3390059107208221,0.18888047487690968,632,0,fixed_0.01
screening,2015,2017,2019,64_32,0.03,20,3,0.9003164556962026,0.19402985074626866,67,0.34038629601273823,0.1753225047790955,632,0,0.8512658227848101,0.27631578947368424,76,0.31996344073058863,0.18076379373933849,632,0,fixed_0.03
screening,2015,2017,2019,64_32,0.05,20,3,0.8971518987341772,0.08955223880597014,67,0.3386591132104405,0.17150162764435617,632,0,0.9034810126582279,0.40789473684210525,76,0.2642238793795404,0.1491067364714279,632,0,fixed_0.05
